"dm, P, ""N(d), s(d)"""
"12,5,""{5 - 2*d + 2*d^2, 2 - (4*d)/5 + (2*d^2)/5}"""
"12,5,""{5 - 2*d + 2*d^2, 13/5 - (2*d)/5 + (4*d^2)/5}"""
"12,5,""{-6 - d + 2*d^2, -12/5 - (3*d)/5 + (2*d^2)/5}"""
"12,5,""{-5 - d + 2*d^2, -16/5 + (4*d^2)/5}"""
"12,5,""{-d + 2*d^2, -8/5 + 5*d + (2*d^2)/5}"""
"12,5,""{-d + 2*d^2, 4/5 + (4*d^2)/5}"""
"12,5,""{4 - d + 2*d^2, 8/5 - (3*d)/5 + (2*d^2)/5}"""
"12,5,""{5 - d + 2*d^2, 14/5 + (4*d^2)/5}"""
"12,5,""{9 - d + 2*d^2, 13/5 - (3*d)/5 + (2*d^2)/5}"""
"12,5,""{-13 + d + 2*d^2, -21/5 - d/5 + (2*d^2)/5}"""
"12,5,""{-11 + d + 2*d^2, -16/5 + (4*d^2)/5}"""
"12,5,""{-6 + d + 2*d^2, -6/5 + (4*d^2)/5}"""
"12,5,""{d + 2*d^2, 8/5 + (27*d)/5 + (2*d^2)/5}"""
"12,5,""{d + 2*d^2, 18/5 + (27*d)/5 + (2*d^2)/5}"""
"12,5,""{d + 2*d^2, -4/5 + (4*d)/5 + (4*d^2)/5}"""
"12,5,""{d + 2*d^2, 6/5 + (4*d)/5 + (4*d^2)/5}"""
"12,5,""{5 + d + 2*d^2, 6/5 + (4*d)/5 + (4*d^2)/5}"""
"12,5,""{-5 + 2*d + 2*d^2, -1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{-5 + 2*d + 2*d^2, -3/5 + (6*d)/5 + (4*d^2)/5}"""
"13,5,""{2*d^2, -1 + (34*d)/5 + (2*d^2)/5}"""
"13,5,""{2*d^2, 1 + (34*d)/5 + (2*d^2)/5}"""
"13,5,""{2*d^2, -1 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{2*d^2, 1 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{-7 + 2*d^2, -7/5 + (2*d)/5 + (4*d^2)/5}"""
